Country,World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Daily Oil Consumption (Barrels),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,country_code
United Arab Emirates,0.9,1467.3,4.15,1.1,896000,36285,8743,6,ARE
United Kingdom,1.6,366.2,8.38,2.22,1583896,41125,4908,13,GBR
United States,20.3,934.3,5.19,1.37,19687287,63414,12218,13,USA
Uruguay,0.06,237.3,7.64,2.02,53000,15438,2021,9,URY
Uzbekistan,0.05,23.9,3.39,0.9,49000,1686,497,21,UZB
Vanuatu,0.0,60.6,4.92,1.3,1100,2783,566,9,VUT
Venezuela,0.6,307.1,0.08,0.02,598000,16056,200700,654,VEN
Vietnam,0.5,78.3,5.38,1.42,478000,2786,518,7,VNM
Yemen,0.06,33.9,1.96,0.52,60000,824,420,12,YEM
Zambia,0.02,20.6,5.59,1.48,640000,5091,911,5,ZMB
Zimbabwe,0.03,26.2,6.13,1.62,24000,1128,184,7,ZWE
